1,Toyota,7FD15,26112,3,,February 2006,9403,,"800,000"
2,Toyota,02-8FD20,64359,3,,October 2016,16967,,"1,050,000"
3,mitsubishi,FDE20T,F18D-20692,3,full free,May 2017,6984,,"1,150,000"
4,mitsubishi,FDE20T,F18D-20682,3,full free,May 2017,10504,,"1,150,000"
5,Toyota,02-8FD25,70311,3,"full free, sideshift",July 2018,3132,,"1,650,000"
6,Toyota,02-8FD25,70232,3,full free forkshift,July 2018,4062,,"1,700,000"
7,mitsubishi,FDE30T,F14F-11468,4.5,,December 2019,4301,,"1,600,000"
8,TCM,FD35Z6,59101008,4,,1986,9735,,"1,150,000"
9,TCM,FD45T9,43G02753,4,side shift,February 2007,5505,saya fork 2200mm,"2,300,000"
10,mitsubishi,FD100,F15C-10108,3,fork shift,August 2000,8616,Claw 2420mm,"4,200,000"
11,TCM,FVD100Z4,40900560,3,Claw 2200mm,1985,2117,Travel: 14585 km,unknown
12,Toyota,FD100,26038,3.8,Claw 2440mm,? year,3367,No plate,"1,300,000"
